City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-01,34.52,154.75,0.92,18.22,17.15,8.98,0.92,27.64,133.36,0.00,0.02,0.00,133.02,Moderate
Ahmedabad,2015-01-02,25.83,226.24,0.97,15.69,16.46,9.09,0.97,24.55,34.06,3.68,5.50,3.77,152.90,Moderate
Ahmedabad,2015-01-03,90.95,206.09,17.40,19.30,29.70,8.99,17.40,29.07,30.70,6.80,16.40,2.25,294.05,Poor
Ahmedabad,2015-01-04,25.83,226.24,1.70,18.48,17.97,9.09,1.70,18.59,36.08,4.43,10.14,1.00,154.82,Moderate
Ahmedabad,2015-01-05,156.12,236.77,22.10,21.42,37.76,8.91,22.10,39.33,39.31,7.01,18.89,2.78,397.48,Very Poor
Ahmedabad,2015-01-06,128.26,150.07,45.41,38.48,81.50,8.87,45.41,45.76,46.51,5.42,10.83,1.93,461.70,Severe
Ahmedabad,2015-01-07,46.52,77.60,112.16,40.62,130.77,22.56,112.16,32.28,33.47,0.00,0.00,0.00,620.77,Hazardous
Ahmedabad,2015-01-08,36.84,132.91,80.87,36.74,96.75,22.56,80.87,38.54,31.89,0.00,0.00,0.00,500.48,Hazardous
Ahmedabad,2015-01-09,70.20,116.70,29.16,31.00,48.00,10.40,29.16,58.68,25.75,0.00,0.00,0.00,337.84,Very Poor
Ahmedabad,2015-01-10,43.27,51.99,8.18,7.04,0.00,8.21,0.00,8.29,4.55,0.00,0.00,0.00,99.30,Satisfactory
Ahmedabad,2015-01-11,60.49,169.72,132.07,55.80,24.53,27.92,132.07,25.03,6.79,0.00,0.00,0.00,744.35,Hazardous
Ahmedabad,2015-01-12,157.99,124.98,52.04,40.67,90.24,15.90,52.04,51.84,45.89,2.41,0.03,7.88,511.87,Hazardous
Ahmedabad,2015-01-13,126.06,167.78,48.82,44.20,87.09,10.64,48.82,68.21,35.16,9.45,13.35,12.50,507.88,Hazardous
Ahmedabad,2015-01-14,55.49,123.04,19.20,27.86,33.05,23.94,19.20,52.65,20.96,2.16,2.26,5.19,273.19,Poor
Ahmedabad,2015-01-15,29.28,119.48,0.60,16.96,16.60,8.97,0.60,28.89,47.63,0.14,0.04,1.35,131.78,Moderate
Ahmedabad,2015-01-16,99.28,106.28,1.63,21.72,22.86,9.54,1.63,38.27,46.03,0.35,0.05,2.01,215.25,Poor
Ahmedabad,2015-01-17,78.71,34.76,11.44,24.73,34.75,3.30,11.44,49.50,52.24,0.68,0.00,3.27,233.72,Poor
Ahmedabad,2015-01-18,49.24,35.06,6.10,25.77,29.57,9.13,6.10,48.43,53.49,0.74,0.21,2.75,182.52,Moderate
Ahmedabad,2015-01-19,36.52,69.25,2.51,26.88,27.45,27.92,2.51,50.03,49.48,0.26,0.02,2.80,164.94,Moderate
Ahmedabad,2015-01-20,78.71,83.91,7.92,26.80,32.40,6.90,7.92,58.87,56.37,0.24,0.01,3.97,242.65,Poor
Ahmedabad,2015-01-21,48.77,110.20,9.52,33.56,39.28,27.37,9.52,106.93,48.75,0.33,0.00,5.65,286.66,Poor
Ahmedabad,2015-01-22,61.79,55.71,9.05,17.51,22.33,24.01,9.05,23.71,42.22,0.00,0.00,4.51,175.48,Moderate
Ahmedabad,2015-01-23,106.09,204.68,22.53,27.96,47.79,9.19,22.53,39.19,32.92,0.39,0.00,5.95,338.45,Very Poor
Ahmedabad,2015-01-24,109.21,226.24,2.03,20.39,21.40,10.59,2.03,40.07,32.49,0.47,0.70,1.54,258.25,Poor
Ahmedabad,2015-01-25,43.70,242.15,1.42,20.43,20.19,7.83,1.42,58.41,39.26,0.01,0.00,0.94,216.92,Poor
Ahmedabad,2015-01-26,156.30,200.52,2.27,21.16,21.81,10.59,2.27,43.73,39.83,0.06,0.00,1.55,301.94,Very Poor
Ahmedabad,2015-01-27,141.49,106.28,2.19,21.70,23.26,10.53,2.19,43.28,41.10,0.02,0.00,1.65,264.85,Poor
Ahmedabad,2015-01-28,73.24,111.17,5.72,21.11,25.84,7.75,5.72,36.52,62.42,0.03,0.01,1.41,203.46,Poor
Ahmedabad,2015-01-29,83.13,64.09,6.93,28.71,33.72,6.47,6.93,49.52,59.76,0.02,0.00,3.14,228.77,Poor
Ahmedabad,2015-01-30,79.84,137.08,13.85,28.68,41.08,10.18,13.85,48.49,97.07,0.04,0.00,4.81,263.37,Poor
Ahmedabad,2015-01-31,94.52,149.35,24.39,32.66,52.61,12.31,24.39,67.39,111.33,0.24,0.01,7.67,345.84,Very Poor
Ahmedabad,2015-02-01,135.99,249.51,43.48,42.08,84.57,9.73,43.48,75.23,102.70,0.40,0.04,25.87,503.07,Hazardous
Ahmedabad,2015-02-02,178.33,323.38,54.56,35.31,72.80,29.93,54.56,55.04,107.38,0.46,0.06,35.61,572.00,Hazardous
Ahmedabad,2015-02-03,139.70,232.14,30.61,28.40,56.73,7.72,30.61,33.79,73.60,0.17,0.03,11.87,397.33,Very Poor
Ahmedabad,2015-02-04,80.65,106.28,2.37,22.83,24.00,10.53,2.37,25.73,47.30,0.00,0.00,0.00,186.97,Moderate
Ahmedabad,2015-02-05,58.36,96.82,2.60,21.39,23.31,10.53,2.60,32.66,53.54,0.00,0.00,0.00,170.05,Moderate
Ahmedabad,2015-02-06,79.29,64.09,1.16,26.94,26.83,7.22,1.16,67.41,59.30,0.00,0.00,0.00,221.30,Poor
Ahmedabad,2015-02-07,88.70,106.28,7.29,31.32,37.73,27.37,7.29,80.09,44.76,0.00,0.00,0.00,283.83,Poor
Ahmedabad,2015-02-08,74.28,106.28,8.92,27.30,33.42,6.47,8.92,54.28,47.42,0.00,0.00,0.27,245.18,Poor
Ahmedabad,2015-02-09,113.93,106.28,4.32,24.27,26.86,9.65,4.32,48.73,39.94,0.02,0.00,3.55,255.54,Poor
Ahmedabad,2015-02-10,105.39,78.34,1.41,18.21,18.75,7.83,1.41,35.91,56.15,0.00,0.00,3.31,206.36,Poor
Ahmedabad,2015-02-11,66.52,34.13,6.34,23.80,28.24,7.35,6.34,66.58,53.14,9.70,9.63,16.49,219.01,Poor
Ahmedabad,2015-02-12,65.04,127.26,14.19,30.10,44.21,11.37,14.19,65.91,31.88,7.72,17.46,2.51,289.42,Poor
Ahmedabad,2015-02-13,103.36,235.83,18.18,39.56,57.33,10.93,18.18,80.43,40.11,11.29,24.35,3.35,395.37,Very Poor
Ahmedabad,2015-02-14,177.33,340.78,37.49,47.58,77.85,16.25,37.49,99.72,36.47,17.00,52.66,6.98,618.02,Hazardous
Ahmedabad,2015-02-15,113.25,268.81,15.55,30.50,44.87,6.84,15.55,69.71,33.78,10.47,28.53,3.22,386.84,Very Poor
Ahmedabad,2015-02-16,99.70,152.58,19.85,28.10,47.31,6.67,19.85,73.23,30.57,10.28,31.25,4.00,368.57,Very Poor
Ahmedabad,2015-02-17,80.61,178.93,15.96,21.04,35.67,6.64,15.96,54.70,36.20,8.14,18.75,2.52,303.59,Very Poor
Ahmedabad,2015-02-18,100.79,289.95,16.24,25.93,41.91,8.87,16.24,43.11,37.43,10.00,32.41,4.04,350.13,Very Poor
Ahmedabad,2015-02-19,107.99,268.81,11.25,30.09,40.47,7.15,11.25,84.86,31.94,9.20,24.03,3.25,378.86,Very Poor
Ahmedabad,2015-02-20,140.29,264.43,33.84,36.14,68.85,6.50,33.84,101.53,40.98,20.12,43.51,7.48,532.85,Hazardous
Ahmedabad,2015-02-21,239.96,350.82,61.95,46.25,106.92,25.58,61.95,84.87,33.55,22.14,53.98,15.44,758.18,Hazardous
Ahmedabad,2015-02-22,142.96,240.43,45.45,48.21,92.32,27.20,45.45,62.96,34.77,7.35,22.40,8.47,532.18,Hazardous
Ahmedabad,2015-02-23,238.41,501.56,77.70,55.07,131.32,25.58,77.70,89.07,37.30,50.61,163.64,28.46,935.98,Hazardous
Ahmedabad,2015-02-24,118.72,254.76,12.56,32.01,42.56,5.48,12.56,61.54,38.80,16.89,46.52,6.05,377.56,Very Poor
Ahmedabad,2015-02-25,52.99,88.26,2.23,10.45,10.39,6.40,2.23,32.76,67.25,3.85,11.39,0.81,156.81,Moderate
Ahmedabad,2015-02-26,67.45,118.13,17.57,28.56,32.31,23.48,2.25,14.53,34.49,3.28,8.70,3.07,169.58,Moderate
Ahmedabad,2015-02-27,67.45,118.13,17.57,28.56,32.31,23.48,2.25,14.53,34.49,3.28,8.70,3.07,169.58,Moderate
Ahmedabad,2015-02-28,67.45,118.13,17.57,28.56,32.31,23.48,2.25,14.53,34.49,3.28,8.70,3.07,169.58,Moderate
Ahmedabad,2015-03-01,61.12,83.45,3.58,16.81,20.92,10.59,3.58,28.44,30.48,2.69,1.58,1.32,167.66,Moderate
Ahmedabad,2015-03-02,60.78,101.50,9.07,18.21,27.34,22.12,9.07,29.48,34.75,2.05,0.55,0.22,194.23,Moderate
Ahmedabad,2015-03-03,91.83,177.77,12.99,28.71,40.76,28.61,12.99,39.71,38.46,2.69,1.74,2.25,278.04,Poor
Ahmedabad,2015-03-04,93.88,175.28,18.21,29.38,47.01,26.74,18.21,62.75,46.79,5.21,2.55,1.55,326.39,Very Poor
Ahmedabad,2015-03-05,173.01,351.34,48.44,42.27,90.73,10.64,48.44,78.76,59.39,9.72,9.96,4.13,600.56,Hazardous
Ahmedabad,2015-03-06,67.45,118.13,17.57,28.56,32.31,23.48,2.25,14.53,34.49,3.28,8.70,3.07,169.58,Moderate
Ahmedabad,2015-03-07,105.45,168.21,2.50,16.10,18.66,6.56,2.50,29.29,69.90,17.77,5.75,0.39,215.14,Poor
Ahmedabad,2015-03-08,71.56,111.17,3.51,16.83,20.32,7.83,3.51,30.28,57.16,3.95,8.01,0.63,186.76,Moderate
Ahmedabad,2015-03-09,119.80,34.13,4.13,24.07,27.90,6.98,4.13,50.35,50.49,4.85,12.15,1.35,250.91,Poor
Ahmedabad,2015-03-10,106.71,107.12,5.39,25.59,30.51,8.06,5.39,38.85,60.17,5.58,14.17,1.74,248.12,Poor
Ahmedabad,2015-03-11,118.49,104.32,4.11,28.94,31.83,4.98,4.11,54.20,53.61,7.90,21.32,2.78,279.78,Poor
Ahmedabad,2015-03-12,106.01,106.28,4.28,27.31,30.54,10.15,4.28,70.29,40.91,9.45,15.54,1.71,282.29,Poor
Ahmedabad,2015-03-13,97.34,106.28,3.67,21.58,24.62,7.77,3.67,64.39,45.69,5.61,15.02,2.25,260.90,Poor
Ahmedabad,2015-03-14,83.92,185.92,6.42,25.03,30.80,6.87,6.42,67.53,34.94,8.24,21.47,3.09,289.89,Poor
Ahmedabad,2015-03-15,49.51,126.45,3.10,14.16,16.15,6.35,3.10,48.33,37.95,4.34,11.34,1.09,191.60,Moderate
Ahmedabad,2015-03-16,30.76,83.47,2.72,14.14,16.98,7.83,2.72,43.62,54.78,3.58,9.38,0.84,152.50,Moderate
Ahmedabad,2015-03-17,50.29,106.28,5.34,29.84,33.28,30.85,5.34,59.23,45.44,5.45,15.12,1.65,221.16,Poor
Ahmedabad,2015-03-18,57.69,168.94,25.36,29.48,54.79,5.64,25.36,58.33,52.87,9.55,32.11,4.53,336.12,Very Poor
Ahmedabad,2015-03-19,105.06,241.45,46.24,37.05,82.23,8.83,46.24,53.62,45.65,20.89,75.36,12.70,512.08,Hazardous
Ahmedabad,2015-03-20,94.10,154.09,22.14,36.53,57.49,7.52,22.14,61.31,46.77,17.50,52.01,7.90,375.12,Very Poor
Ahmedabad,2015-03-21,111.89,226.08,22.25,43.29,64.53,6.82,22.25,66.44,50.57,18.03,56.86,8.86,424.39,Severe
Ahmedabad,2015-03-22,108.59,214.64,25.38,39.34,63.01,6.36,25.38,75.80,46.68,15.78,48.41,7.07,434.44,Severe
Ahmedabad,2015-03-23,130.76,204.74,45.61,41.03,85.76,6.34,45.61,65.77,41.58,24.12,85.31,12.56,550.06,Hazardous
Ahmedabad,2015-03-24,143.55,271.21,27.30,31.15,57.16,7.52,27.30,50.98,35.38,18.61,72.78,10.15,471.92,Severe
Ahmedabad,2015-03-25,165.07,171.62,23.83,34.48,57.71,6.91,23.83,64.32,43.79,29.14,64.01,8.51,459.18,Severe
Ahmedabad,2015-03-26,166.85,106.28,17.93,43.30,60.07,6.94,17.93,79.71,53.44,24.09,67.38,9.76,450.77,Severe
Ahmedabad,2015-03-27,147.38,204.58,6.40,35.82,40.22,14.54,6.40,46.89,17.94,14.23,41.88,5.70,354.48,Very Poor
Ahmedabad,2015-03-28,158.25,106.28,5.86,27.89,32.65,9.10,5.86,142.36,38.54,13.67,21.24,2.83,425.60,Severe
Ahmedabad,2015-03-29,237.76,106.28,4.99,21.80,25.37,6.68,4.99,96.28,39.77,8.68,14.95,1.28,438.09,Severe
Ahmedabad,2015-03-30,133.37,184.13,3.88,17.99,21.02,6.83,3.88,57.34,39.66,5.76,11.74,1.04,302.12,Very Poor
Ahmedabad,2015-03-31,133.30,200.77,6.52,20.00,26.18,4.56,6.52,51.58,59.03,9.94,21.13,2.31,313.80,Very Poor
Ahmedabad,2015-04-01,96.04,106.28,3.80,20.07,23.46,7.77,3.80,62.42,46.61,7.54,13.44,1.65,254.15,Poor
Ahmedabad,2015-04-02,77.69,155.54,5.24,18.87,23.06,6.94,5.24,100.48,27.14,9.49,11.77,1.60,297.90,Poor
Ahmedabad,2015-04-03,53.07,163.73,4.17,13.82,17.45,7.54,4.17,40.36,21.76,4.47,6.94,0.42,197.63,Moderate
Ahmedabad,2015-04-04,63.11,133.67,5.63,15.50,18.49,6.50,5.63,38.21,4.72,5.20,8.17,0.73,208.38,Poor
Ahmedabad,2015-04-05,156.76,48.04,3.92,16.70,20.97,7.83,3.92,26.32,37.11,3.88,10.78,0.97,256.11,Poor
Ahmedabad,2015-04-06,120.96,112.58,4.23,20.86,25.02,7.77,4.23,35.54,35.66,6.05,15.85,1.68,255.33,Poor
Ahmedabad,2015-04-07,138.63,338.76,5.65,25.47,30.67,6.85,5.65,87.43,29.77,11.25,24.67,3.12,400.59,Hazardous
Ahmedabad,2015-04-08,144.36,332.11,15.82,30.69,46.10,6.97,15.82,66.39,27.34,17.22,49.56,7.71,441.87,Severe
Ahmedabad,2015-04-09,85.03,202.76,3.30,26.70,27.41,6.83,3.30,59.16,35.89,7.58,29.19,4.08,280.02,Poor
Ahmedabad,2015-04-10,134.60,175.60,5.90,26.27,28.70,17.76,5.90,34.53,7.00,0.00,0.00,0.00,288.38,Poor
Ahmedabad,2015-04-11,61.06,103.36,3.52,14.03,17.59,6.82,3.52,8.08,19.54,0.00,0.00,0.01,148.75,Moderate
Ahmedabad,2015-04-12,39.42,68.52,5.28,19.56,24.66,35.45,5.28,17.66,31.30,0.00,0.00,0.00,137.52,Moderate
Ahmedabad,2015-04-13,111.86,154.70,3.89,22.51,25.17,10.53,3.89,15.84,31.23,0.00,0.00,0.00,225.42,Poor
Ahmedabad,2015-04-14,58.37,151.21,5.74,21.71,27.69,13.17,5.74,25.90,43.92,2.15,10.46,5.40,195.33,Moderate
Ahmedabad,2015-04-15,95.37,190.22,18.01,26.23,44.34,29.86,18.01,13.59,41.64,1.21,3.28,20.78,270.28,Poor
Ahmedabad,2015-04-16,141.30,285.35,30.80,36.88,66.53,8.36,30.80,41.06,37.66,0.66,0.01,28.13,430.15,Severe
Ahmedabad,2015-04-17,106.68,193.89,19.91,46.38,54.77,21.46,19.91,31.56,48.49,1.67,0.00,15.95,326.20,Very Poor
Ahmedabad,2015-04-18,109.48,164.79,4.30,20.27,22.86,10.59,4.30,46.60,31.34,0.05,0.00,6.19,259.74,Poor
Ahmedabad,2015-04-19,126.04,210.63,6.99,20.18,26.78,9.99,6.99,79.56,28.71,0.20,0.00,6.40,336.14,Very Poor
Ahmedabad,2015-04-20,71.22,117.52,16.73,21.32,37.58,6.29,16.73,50.09,28.39,1.38,23.54,6.09,286.46,Poor
Ahmedabad,2015-04-21,97.87,140.97,6.30,17.96,23.45,55.37,6.30,13.85,34.16,0.21,4.91,2.95,209.55,Poor
Ahmedabad,2015-04-22,63.38,131.23,3.44,13.28,15.44,16.11,3.44,24.79,43.62,0.00,0.00,1.23,170.86,Moderate
Ahmedabad,2015-04-23,75.29,272.00,3.35,14.29,17.97,7.83,3.35,76.05,60.71,0.00,0.01,2.27,273.87,Poor
Ahmedabad,2015-04-24,80.90,121.10,5.70,18.62,24.23,10.59,5.70,65.44,22.80,0.05,0.09,3.46,250.05,Poor
Ahmedabad,2015-04-25,103.29,143.92,4.55,19.82,23.69,10.53,4.55,85.42,22.18,0.06,1.17,2.58,297.68,Poor
Ahmedabad,2015-04-26,107.50,56.09,5.29,15.56,19.73,27.92,5.29,74.37,10.12,0.09,0.16,2.91,266.31,Poor
Ahmedabad,2015-04-27,161.14,200.77,3.11,14.77,16.12,7.83,3.11,118.35,59.73,0.00,2.55,0.00,390.85,Very Poor
Ahmedabad,2015-04-28,102.58,170.92,3.88,12.74,16.82,6.39,3.88,41.94,26.89,0.02,6.40,0.76,248.20,Poor
Ahmedabad,2015-04-29,138.42,170.92,5.05,16.70,21.56,8.47,5.05,77.74,27.18,0.01,0.88,2.01,327.66,Very Poor
Ahmedabad,2015-04-30,129.04,116.67,5.69,14.86,19.66,7.40,5.69,78.27,18.67,0.00,0.00,1.54,308.29,Very Poor
Ahmedabad,2015-05-01,96.65,197.39,4.67,15.90,20.53,28.34,4.67,39.41,11.83,0.01,0.00,3.11,245.96,Poor
Ahmedabad,2015-05-02,126.77,254.76,15.69,23.93,39.73,6.92,15.69,93.18,36.71,0.22,0.04,10.00,400.47,Hazardous
Ahmedabad,2015-05-03,106.15,203.51,13.12,23.02,35.05,8.14,13.12,65.95,81.60,0.30,0.02,9.69,318.35,Very Poor
Ahmedabad,2015-05-04,86.31,282.20,2.69,10.50,10.90,6.35,2.69,50.13,90.54,0.47,0.15,12.80,244.01,Poor
Ahmedabad,2015-05-05,83.99,168.49,2.73,0.08,2.75,10.08,2.73,34.06,69.57,0.28,0.05,8.97,190.91,Moderate
Ahmedabad,2015-05-06,65.11,57.30,3.14,4.58,6.75,7.15,3.14,22.27,32.26,0.17,0.04,5.84,145.20,Moderate
Ahmedabad,2015-05-07,51.03,108.88,6.24,20.47,26.20,8.02,6.24,15.50,31.44,0.00,0.00,1.29,163.52,Moderate
Ahmedabad,2015-05-08,38.73,68.52,8.00,19.28,26.61,53.52,8.00,20.13,25.70,0.00,0.00,2.08,148.88,Moderate
Ahmedabad,2015-05-09,61.12,123.57,9.94,17.82,27.18,5.82,9.94,39.69,25.90,0.00,0.00,3.49,218.38,Poor
Ahmedabad,2015-05-10,58.44,248.57,10.68,17.24,27.38,14.23,10.68,54.69,18.89,0.00,0.00,1.39,265.79,Poor
Ahmedabad,2015-05-11,61.49,148.13,11.44,16.69,27.61,33.96,11.44,42.66,18.20,0.01,0.00,2.59,231.09,Poor
Ahmedabad,2015-05-12,65.39,151.44,12.30,16.08,27.86,6.34,12.30,27.96,22.35,0.00,0.00,2.29,224.32,Poor
Ahmedabad,2015-05-13,100.92,206.95,20.42,18.90,37.83,9.28,20.42,31.90,22.84,4.90,19.26,8.21,322.65,Very Poor
Ahmedabad,2015-05-14,97.48,192.73,5.31,30.02,33.62,14.54,5.31,36.05,16.26,10.60,34.91,3.85,278.80,Poor
Ahmedabad,2015-05-15,129.27,254.76,14.28,28.33,41.92,7.07,14.28,70.13,25.40,16.90,44.19,4.97,401.81,Severe
Ahmedabad,2015-05-16,129.58,254.76,21.23,28.79,45.40,8.11,21.23,17.66,34.42,20.53,85.73,11.56,397.78,Very Poor
Ahmedabad,2015-05-17,100.57,189.60,7.56,18.79,24.33,6.48,7.56,38.76,38.83,4.92,17.94,1.54,271.48,Poor
Ahmedabad,2015-05-18,130.34,236.55,7.14,17.43,23.72,6.50,7.14,52.07,29.05,5.05,14.00,1.30,322.20,Very Poor
Ahmedabad,2015-05-19,53.24,142.75,8.05,15.86,23.34,7.54,8.05,36.23,21.58,5.23,15.00,1.02,211.54,Poor
Ahmedabad,2015-05-20,42.00,65.57,10.44,18.16,21.80,30.96,10.44,17.00,25.50,0.00,0.00,0.00,159.84,Moderate
Ahmedabad,2015-05-21,50.10,184.16,9.46,14.90,22.50,25.58,9.46,30.67,12.91,0.41,1.89,1.44,208.35,Poor
Ahmedabad,2015-05-22,83.69,129.08,10.89,17.18,27.15,6.12,10.89,41.12,35.61,12.62,20.20,17.84,250.49,Poor
Ahmedabad,2015-05-23,38.88,166.13,2.18,16.28,17.74,28.34,2.18,26.40,12.47,3.00,6.96,6.37,160.95,Moderate
Ahmedabad,2015-05-24,46.89,143.45,2.96,16.17,18.49,28.34,2.96,41.96,10.74,3.41,8.87,3.53,186.57,Moderate
Ahmedabad,2015-05-25,70.96,126.59,4.12,15.47,19.28,33.16,4.12,23.67,16.01,3.72,8.13,4.06,186.35,Moderate
Ahmedabad,2015-05-26,53.66,125.66,4.23,14.43,18.06,15.28,4.23,14.46,45.64,2.39,6.40,3.53,155.39,Moderate
Ahmedabad,2015-05-27,45.49,92.07,4.26,13.73,17.10,20.80,4.26,12.85,71.85,2.50,5.96,3.36,132.08,Moderate
Ahmedabad,2015-05-28,60.86,131.34,5.27,16.61,21.42,35.70,5.27,14.91,41.19,3.03,9.18,6.54,169.79,Moderate
Ahmedabad,2015-05-29,51.93,77.60,13.71,17.87,31.64,25.58,13.71,15.33,12.88,6.32,19.17,10.57,195.47,Moderate
Ahmedabad,2015-05-30,77.87,117.17,6.67,17.12,23.00,14.11,6.67,46.82,16.67,4.79,9.78,5.10,232.26,Poor
Ahmedabad,2015-05-31,57.59,114.51,5.60,15.47,20.42,9.02,5.60,41.68,25.51,2.64,6.30,3.08,198.48,Moderate
Ahmedabad,2015-06-01,77.22,274.22,7.02,15.47,21.13,27.92,7.02,71.97,9.56,3.74,8.45,1.17,297.75,Poor
Ahmedabad,2015-06-02,45.29,130.00,7.25,12.74,19.66,16.96,7.25,18.64,6.32,2.73,6.99,0.76,170.87,Moderate
Ahmedabad,2015-06-03,103.78,72.15,6.36,13.90,19.86,14.11,6.36,7.76,15.27,0.82,1.37,0.81,193.85,Moderate
Ahmedabad,2015-06-04,25.14,61.04,6.01,18.73,24.74,10.18,6.01,38.05,38.52,0.00,0.00,0.00,149.94,Moderate
Ahmedabad,2015-06-05,87.03,199.93,8.05,17.88,25.53,7.57,8.05,23.84,48.22,0.00,0.00,0.00,232.23,Poor
Ahmedabad,2015-06-06,89.60,106.28,6.59,19.84,25.90,10.53,6.59,48.05,44.78,0.00,0.00,0.00,236.62,Poor
Ahmedabad,2015-06-07,80.69,119.29,6.86,16.07,22.25,7.40,6.86,39.85,32.65,0.00,0.00,0.00,221.68,Poor
Ahmedabad,2015-06-08,44.75,77.77,7.76,16.53,24.29,27.92,7.76,9.89,8.07,0.00,0.00,0.00,147.87,Moderate
Ahmedabad,2015-06-09,38.11,46.13,7.41,11.62,19.03,6.29,7.41,3.13,6.69,2.50,5.93,0.74,126.34,Moderate
Ahmedabad,2015-06-10,45.50,53.17,8.56,15.59,24.15,6.26,8.56,0.76,3.82,5.09,8.52,1.82,141.28,Moderate
Ahmedabad,2015-06-11,36.98,61.07,8.21,11.52,19.74,6.28,8.21,0.52,5.17,3.63,8.16,1.33,130.15,Moderate
Ahmedabad,2015-06-12,43.58,53.17,8.26,13.33,21.58,17.13,8.26,1.02,7.56,3.59,6.79,1.50,134.21,Moderate
Ahmedabad,2015-06-13,45.49,53.17,9.63,14.91,24.53,6.26,9.63,0.81,2.94,3.67,6.62,1.17,144.73,Moderate
Ahmedabad,2015-06-14,38.06,96.81,8.67,18.57,27.25,5.43,8.67,1.05,4.63,2.85,5.12,0.74,146.66,Moderate
Ahmedabad,2015-06-15,45.41,95.85,9.35,20.55,29.90,23.38,9.35,0.74,4.50,2.83,7.18,0.82,157.11,Moderate
Ahmedabad,2015-06-16,37.71,47.53,8.54,16.26,24.80,6.29,8.54,0.87,4.60,2.52,7.61,0.81,133.96,Moderate
Ahmedabad,2015-06-17,32.37,4.13,7.53,14.36,21.89,28.34,7.53,2.17,12.17,1.88,7.92,0.69,111.05,Moderate
Ahmedabad,2015-06-18,34.74,71.85,7.59,13.51,21.11,28.34,7.59,4.11,12.22,1.82,6.19,0.47,129.80,Moderate
Ahmedabad,2015-06-19,32.56,34.66,7.34,13.91,21.25,28.34,7.34,4.04,11.85,2.55,9.30,0.97,120.14,Moderate
Ahmedabad,2015-06-20,29.28,57.97,7.55,11.68,19.23,25.58,7.55,4.01,12.64,1.64,7.00,0.62,120.38,Moderate
Ahmedabad,2015-06-21,20.46,35.46,7.15,10.61,17.76,25.58,7.15,5.62,12.70,1.26,5.17,0.32,104.70,Moderate
Ahmedabad,2015-06-22,26.07,41.04,7.99,11.07,19.06,28.34,7.99,4.10,10.57,1.50,6.90,0.63,114.65,Moderate
Ahmedabad,2015-06-23,21.43,27.20,7.45,11.16,18.62,16.96,7.45,4.99,7.38,1.40,6.69,0.76,107.57,Moderate
Ahmedabad,2015-06-24,11.91,52.77,7.34,10.10,17.44,20.92,7.34,10.86,5.47,1.30,12.23,0.73,114.15,Moderate
Ahmedabad,2015-06-25,57.75,46.77,8.68,9.68,18.36,9.46,8.68,12.28,3.06,1.98,6.51,0.74,160.49,Moderate
Ahmedabad,2015-06-26,66.39,52.77,8.58,12.79,21.36,6.51,8.58,11.09,4.96,1.76,6.18,0.57,171.11,Moderate
Ahmedabad,2015-06-27,62.61,46.77,9.15,9.83,18.98,6.08,9.15,12.31,6.44,1.87,5.47,0.37,166.46,Moderate
Ahmedabad,2015-06-28,47.50,76.19,8.07,9.53,17.59,16.44,8.07,13.91,7.28,1.34,3.97,0.12,153.82,Moderate
Ahmedabad,2015-06-29,111.80,19.90,9.23,11.51,20.74,6.10,9.23,5.27,5.99,1.84,5.69,0.28,201.34,Poor
Ahmedabad,2015-06-30,30.00,104.88,8.87,13.59,22.64,74.76,8.87,8.09,6.31,1.32,4.59,0.16,137.33,Moderate
Ahmedabad,2015-07-01,4.66,40.30,9.01,10.90,20.36,6.10,9.01,7.31,6.38,1.27,3.94,0.13,102.90,Moderate
Ahmedabad,2015-07-02,48.72,67.10,9.56,11.94,21.50,6.31,9.56,5.72,6.61,1.77,4.96,0.39,153.35,Moderate
Ahmedabad,2015-07-03,49.70,80.38,9.43,9.81,19.23,6.31,9.43,6.78,6.42,2.00,4.79,0.31,156.05,Moderate
Ahmedabad,2015-07-04,48.10,76.00,8.03,9.53,17.57,17.17,8.03,9.33,7.60,1.68,4.41,0.18,148.86,Moderate
Ahmedabad,2015-07-05,47.43,76.00,8.11,9.45,17.56,6.30,8.11,7.93,7.08,2.10,3.60,0.13,147.37,Moderate
Ahmedabad,2015-07-06,51.74,80.38,8.91,12.38,21.28,6.31,8.91,10.05,5.78,2.15,3.64,0.27,161.03,Moderate
Ahmedabad,2015-07-07,42.68,52.77,9.74,11.08,20.82,6.31,9.74,10.87,4.44,1.62,4.96,0.39,150.55,Moderate
Ahmedabad,2015-07-08,38.45,60.65,10.55,7.80,18.35,6.30,10.55,10.28,3.24,2.46,4.79,0.41,147.66,Moderate
Ahmedabad,2015-07-09,46.69,79.73,11.48,0.17,11.64,23.41,11.48,10.25,5.76,1.77,4.34,0.15,154.84,Moderate
Ahmedabad,2015-07-10,55.27,149.83,11.55,0.12,11.66,27.92,11.55,12.70,6.55,1.69,4.17,0.22,181.99,Moderate
Ahmedabad,2015-07-11,149.03,169.05,11.49,0.16,11.65,27.92,11.49,10.07,7.27,1.71,5.72,0.19,274.62,Poor
Ahmedabad,2015-07-12,86.57,90.61,11.47,0.17,11.64,27.92,11.47,11.09,6.53,1.57,3.85,0.09,195.81,Moderate
